review_id,brand_name,store_name,review_title,review_comment,locale,rating,sentiment,reply_created_at,reply,gpt-4o,gpt-4o-mini
209970809,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,設備が新しく、清潔感が溢れるホテルでした。また、ドリンクサービスも日本酒やノンアルコールと豊富で、多くの方が利用されていました。京都駅から少し離れますが、補って余りある“おもてなし”満載のホテルだと思います。,ja,4,POSITIVE,2025-05-11 18:15:03,"この度はご宿泊いただき、誠にありがとうございました。
また、温かいご感想をお寄せいただき、心より御礼申し上げます。

設備の新しさや清潔感にご満足いただけたとのこと、大変嬉しく思います。
また、日本酒やノンアルコールドリンクを含むドリンクサービスも多くの方にご利用いただき、私たちも嬉しい限りです。

京都駅からの距離につきましても、「おもてなし」で補って余りあるとのお言葉を頂戴し、スタッフ一同大きな励みとなります。

また京都にお越しの際は、ぜひ当ホテルにお立ち寄りくださいませ。心よりお待ち申し上げております。
オリエンタルホテル京都六条",この度は当ホテルをご利用いただき、誠にありがとうございます。設備やドリンクサービスについてお褒めいただき、大変光栄です。また、当ホテルの“おもてなし”を感じていただけたことを嬉しく思います。立地に関してはご不便をおかけする面もありますが、これからもお客様にご満足いただけるサービスを提供できるよう努めてまいります。次回のご来訪を心よりお待ちしております。,"この度はご利用いただき、また温かいご感想をありがとうございます。
 

 設備の新しさや清潔感をお伝えいただき、とても嬉しく思います。また、ドリンクサービスについてもお褒めいただき、スタッフ一同励みになります。お客様にご満足いただけるよう、今後もおもてなしを充実させて参ります。
 

 京都駅からの距離についても、ご理解いただき感謝申し上げます。次回のご利用を心よりお待ちしております。"
205435941,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,"Para mi un hotel que no controla si tu habitación podría estar lista 45 minutos antes de las 15.00 horario oficial de entrada, dejándote esperar merece 1 punto, la amabilidad de la recepcionista merece un 0. Después de ver las fotos del lugar uno piensa que sera relax y Zen desde la llegada y lo primero te topas con unas escaleras para acceder y bajar tus maletas de 25 kilos después de haber caminado otros 20 por las calles de la ciudad merece otro 0. Espero que las habitaciones reviertan este comentario.",es,1,NEGATIVE,2025-05-13 17:27:19,"Gracias por haberse alojado en Oriental Hotel Kyoto Rokujo y por tomarse el tiempo de compartir sus comentarios.

Lamentamos sinceramente que la experiencia durante el check-in y el acceso al hotel no haya estado a la altura de sus expectativas. Valoramos mucho sus observaciones, y las compartiremos con nuestro equipo para seguir mejorando tanto el servicio como la comodidad de nuestros huéspedes.

Nos alegra saber que, a pesar de los inconvenientes mencionados, haya valorado su estancia con una alta puntuación. Será un placer poder darle la bienvenida nuevamente y ofrecerle una experiencia más satisfactoria.","Lamentamos mucho que su experiencia en nuestro hotel no haya cumplido con sus expectativas. Agradecemos que comparta su opinión, ya que nos ayuda a mejorar. 
 

 Comprendemos la importancia de una bienvenida sin inconvenientes y estamos tomando medidas para asegurar que las habitaciones estén listas a tiempo. También revisaremos el acceso y la asistencia en recepción para garantizar una experiencia más cómoda y acogedora. 
 

 Esperamos que haya encontrado satisfacción en las habitaciones y estamos comprometidos a mejorar su experiencia en el futuro. Nos encantaría tener otra oportunidad para brindarle un servicio superior.","Lamentamos sinceramente que su experiencia no haya sido lo que esperaba. Agradecemos su comentario y tomamos muy en serio sus observaciones sobre el tiempo de espera y las instalaciones.
 

 Estamos comprometidos a mejorar y haremos todo lo posible para que su próxima visita sea más placentera. 
 

 Esperamos tener la oportunidad de demostrarle una mejor atención en el futuro. Gracias por su feedback."
194593281,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,,ja,5,POSITIVE,2025-03-02 18:36:37,この度はオリエンタルホテル京都六条をご利用いただき誠にありがとうございます。またのご利用をお待ちしております。,この度は高評価をいただき、誠にありがとうございます。お客様にご満足いただけたことを大変嬉しく思っております。次回のご来店を心よりお待ちしております。何かお気づきの点がございましたら、お気軽にお知らせください。,この度はご利用いただき、ありがとうございます。もし「nan」という言葉に何か特別な意味やご要望がございましたら、ぜひお知らせください。お客様のご意見を大切にし、一層のサービス向上に努めて参ります。今後ともどうぞよろしくお願い申し上げます。
188236382,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,客室について和室って....板張りだった。せめてユニットバスの前まで板張りが在ったら良かったのに、そこが、使いづらかったので減点になります。サ−ビスについて朝食の表示で、アレルギー対応が、キチンとされておりよく見なければならないけど万国共通表示で、判りやすかったです。場所について駅より離れているけど私の周囲の人には隠れ家になると思うので薦められる。,ja,4,MIXED,2025-01-20 18:18:14,"この度は貴重なご意見をお寄せいただき、誠にありがとうございます。
●客室について
和室の板張りについてご期待に添えず、また使いづらいと感じられた点、大変申し訳ございません。特にユニットバス周りの設計においてご不便をおかけしたことを深くお詫び申し上げます。このご意見を真摯に受け止め、今後の客室改善に役立ててまいります。

●サービスについて
朝食に関するアレルギー対応表示についてお褒めいただきありがとうございます。多くのお客様に安心してお食事を楽しんでいただけるよう、これからも分かりやすく、安心できるサービスを追求してまいります。

●場所について
当ホテルの立地について、駅から離れているという点を「隠れ家」として捉えていただけたこと、大変嬉しく思います。お客様の周囲の方々にもお薦めいただけるとのこと、心より感謝申し上げます。

またのお越しをスタッフ一同、心よりお待ちしております。引き続きご愛顧賜りますようお願い申し上げます。","この度はご宿泊いただき、また貴重なご意見をいただきありがとうございます。客室の板張りに関するご指摘について、今後の改善の参考にさせていただきます。お客様に快適にお過ごしいただけるよう、努めてまいります。
 

 朝食のアレルギー表示についてお褒めいただき光栄です。引き続き、安心してご利用いただけるよう努めてまいります。立地についても、おすすめしていただけるとのお言葉をいただき、大変嬉しく思います。
 

 またのご来館を心よりお待ち申し上げております。","この度はご利用いただき、誠にありがとうございます。
 

 客室の和室についてご指摘いただき、ありがとうございます。ご不便をおかけした点についてお詫び申し上げます。改善の参考にさせていただきます。
 

 また、朝食のアレルギー表示に関してご評価いただき、光栄です。その点をご満足いただけたことを嬉しく思います。
 

 駅からの距離についてもご理解いただき、ありがとうございます。隠れ家的な場所としてご推薦いただけるなんて、光栄です。
 

 今後とも、より良いサービスの提供に努めてまいります。またのご来店を心よりお待ちしております。"
186813431,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,ある意味、京都らしい立地静かな街に目立たずに佇むホテル,ja,5,NEUTRAL,2025-01-11 17:59:57,"この度は当ホテルをご利用いただき、また貴重なご感想をお寄せいただき誠にありがとうございます。
客室やサービスに高い評価をいただき光栄でございます。
一方で、場所に関するご意見も真摯に受け止めております。今後もお客様にご満足いただけるよう、より一層の努力を続けてまいります。またのご利用を心よりお待ち申し上げております。",この度は当ホテルにご宿泊いただき、誠にありがとうございます。静かな街に佇むホテルの雰囲気をお楽しみいただけたようで嬉しく思います。お客様に快適にお過ごしいただけるよう、これからも努めてまいります。またのご利用を心よりお待ちしております。,"ご利用いただき、ありがとうございます。
 

 京都の静かな街並みを楽しんでいただけたようで嬉しく思います。当ホテルの立地が、特別なひとときを演出できたのであれば幸いです。
 

 またのご訪問を心よりお待ちしております。"
185753175,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,朝食の白味噌のお味噌汁が本当に美味しかったです。湯豆腐を入れて食べたら尚更でした。他のオリエンタルホテル系列の朝食と比べると、若干質がさがりますが、ラウンジの出汁と良い、京都らしさが感じられ良かったと思います。ありがとうございました。,ja,4,POSITIVE,2025-01-11 17:59:58,"この度は当ホテルをご利用いただき、また貴重なご意見をお寄せいただき誠にありがとうございます。
白味噌のお味噌汁や湯豆腐、ラウンジの出汁など、京都らしいお食事をお楽しみいただけたとのこと、大変嬉しく思います。また、客室や設備についてのポジティブな評価をいただきありがとうございます。一方で、WiFiの接続やテレビの動作についてご不便をおかけしたこと、深くお詫び申し上げます。さらに、アメニティに関する貴重なご意見をありがとうございます。女性のお客様によりご満足いただけるよう、洗顔や化粧水などの充実も検討してまいります。今後もお客様に快適でご満足いただけるご滞在を提供できるよう、スタッフ一同尽力してまいります。またのご利用を心よりお待ち申し上げております。",この度はご来店いただきありがとうございます。白味噌のお味噌汁や湯豆腐を楽しんでいただけて嬉しく思います。また、京都らしい雰囲気を感じていただけたとのこと、嬉しく思います。いただいたご意見をもとに更なる改善に努めてまいります。またのご来店を心よりお待ちしております。,"ご来店いただき、また素敵なご感想をお寄せいただきありがとうございます。
 

 白味噌のお味噌汁や湯豆腐を気に入っていただけたとのこと、とても嬉しく思います。京都らしさを感じていただけたことも何よりの喜びです。
 

 ご指摘いただいた点については真摯に受け止め、今後の改善に努めてまいります。貴重なご意見に感謝いたします。
 

 またのご利用を心よりお待ちしております。"
183366887,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,京都駅から歩いて約30分、最寄りの駅は市営地下鉄の五条駅ですが、そこから歩いても約10分かかります。 コンビニはホテルから歩いて3分程度のところにありますが、正直言ってあまり便利な立地ではありません。ホテル自体は綺麗で高級感もあり、ウェルカムドリンクサービスもあります。セキュリティは電子錠システムで、カードキーでエレベーターホールや部屋の解錠を行います。部屋は綺麗ですが設備がいまいちです。まず部屋の中には テーブルがありません。 必要な人はフロントでテーブルを貸し出してもらえます。 冷蔵庫もあるのですが、部屋の入口の脇にあり、飲むときにはそこまで取りに行かなければなりません。またコンセントの位置が使いたいところになく、とても不便に感じました。 また空調設備の風が、どう調整しても寝ている時にベット付近に当たるのです。エアコンの操作もリモコンではなく調整するためには 壁のスイッチを操作するしかありません。何度も起きては調整してました。あと致命的なのは、夜中に勝手にテレビがつくということです。 すべての客室がそうなのか、故障しているのか？何度 リモコンでオフにしても、15分ぐらい経つと勝手に電源が入りホテル案内の画面が表示されます。音こそ鳴りませんが、まぶしくて仕方がありませんでした。おかげでなかなか寝付けなかったです。最後はついに諦めましたが、少し気持ち悪いです。 これは是非 何とかして欲しいです。それ以外は設備も新しいものがついていて、空気清浄機もありました。アメニティも標準的だと思います。,ja,3,MIXED,2024-12-11 18:03:17,"お客様、この度は貴重なご意見をお寄せいただき、誠にありがとうございます。

ホテルの清潔さや高級感、セキュリティ面についてご満足いただけた点は大変嬉しく思います。また、ウェルカムドリンクのサービスもお楽しみいただけたようで何よりです。

一方で、客室の設備やコンセントの配置、エアコンの操作性に関するご不便をおかけし、申し訳ございません。特に、テレビが夜中に自動的に点灯する現象については、大変不快な思いをさせてしまい、心よりお詫び申し上げます。テレビ画面の設定でオートモードがONになっている可能性が考えられますので、すぐに設備の確認と対応を行い、快適にお休みいただける環境を整えてまいります。

テーブルの貸し出しや冷蔵庫の配置についても、いただいたご意見を真摯に受け止め、今後の改善を検討させていただきます。お客様が快適にお過ごしいただけるよう、より良いサービスを目指して努めてまいります。

お忙しい中、詳しいご感想をお聞かせいただき、誠にありがとうございました。ぜひまたのご利用をお待ちしております。","この度はご宿泊いただきありがとうございます。立地面でご不便をおかけし、また設備に関してもご期待に添えず申し訳ございませんでした。特に、テレビが夜中に勝手につくという問題で不快な思いをおかけしましたこと、深くお詫び申し上げます。直ちに点検を行い、問題の解決に努めます。
 

 客室内の設備に関するご指摘、特にコンセントや空調の位置についても、今後の改善の参考とさせていただきます。ご意見をいただけたことに感謝し、より快適な滞在を提供できるようスタッフ一同努力して参ります。また機会がございましたら、ぜひお越しくださいませ。心よりお待ちしております。","この度はご利用いただき、また貴重なご意見をお寄せいただきありがとうございます。
 

 立地や室内の設備に関して、ご不便をおかけし申し訳ございません。特に夜中のテレビが自動でオンになる件については、大変ご迷惑をおかけしました。この事象は調査し、早急に改善に努めます。
 

 また、テーブルやコンセントの位置など、ご要望にお応えできなかった点についても重く受け止めており、今後の改善材料とさせていただきます。
 

 お客様にとって快適な滞在ができるよう、スタッフ一同、さらなるサービス向上に努めてまいりますので、今後ともどうぞよろしくお願い申し上げます。"
183366889,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,夜11時までフリードリンク（リンゴジュース、出汁、水、お茶2種類）と、ちょっとしたおつまみ（飴、HARIBO、ナッツ）があって飲み放題。部屋は静かだし、全体的に清潔感あふれる場所で良かった!,ja,4,POSITIVE,2024-12-11 18:03:17,"この度はご宿泊いただき、誠にありがとうございます。

フリードリンクやおつまみサービスをお楽しみいただけたようで嬉しく思います。特に、静かで清潔感のある空間で快適にお過ごしいただけたとのお言葉は、スタッフ一同の励みになります。

これからも、より快適で満足度の高い滞在を提供できるよう努めてまいります。
またのお越しを心よりお待ちしております。
この度は誠にありがとうございました。","貴重なご意見をいただき、誠にありがとうございます。ドリンクやおつまみのサービスを楽しんでいただけたようで嬉しく思います。静かで清潔感のある環境もご満足いただけたこと、光栄に感じております。
 

 今後も、より一層ご満足いただけるよう努力いたしますので、またのご利用を心よりお待ちしております。","ご利用いただきありがとうございます。フリードリンクやおつまみを楽しんでいただけたとのこと、大変嬉しく思います。
 

 静かで清潔感のある環境を提供できたことも嬉しいお言葉です。今後とも、より良いサービスを心がけて参りますので、またのご来店をお待ちしております。"
183366898,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,堀川通りから1本東側に入ったところにあるホテルサイズ的にも5階建てでこじんまりしていますが静かでした🎵入り口を入ったところにウェルカムドリンク😀日本酒、和風出汁、デトックスウォーター、りんごジュース、煎茶、ほうじ茶、コーヒー☕️などがあり、良かった👍部屋はツインでしたが広さも丁度いい感じ☝️湯船は少し小さめでしたがシャワーカーテンにRがついているので広く使えます☺️喫煙室🚬は1階の奥にありました。朝食のバイキング🍴は7時OPEN出発が早かったので食べれなかったのが残念です💦2024年10月23日に再び訪れました。今回は朝食を食べれたので写真を載せておきます☝️,ja,3,POSITIVE,2024-12-11 18:03:19,"お客様、この度は再度ご宿泊いただき、誠にありがとうございます。

ホテルの立地やウェルカムドリンクサービスにご満足いただけたようで、嬉しく思います。また、お部屋の広さや浴室の使い勝手についてもご評価いただき、ありがとうございます。

朝食に関して、前回はご利用いただけなかったとのことですが、今回お楽しみいただけたようで何よりです。お客様の写真も拝見し、私たちも嬉しく思います。

また京都にお越しの際は、ぜひ当ホテルでお迎えできることを楽しみにしております。今後もより良いサービスを提供できるよう努めてまいります。

ありがとうございました。",この度はご利用いただきありがとうございます。お部屋やウェルカムドリンクをお楽しみいただけたようで嬉しく思います。湯船や朝食についてのフィードバックもありがとうございます。次回はぜひゆっくりと朝食もお楽しみいただけるように心よりお待ちしております。またお越しいただける日を楽しみにしています。,"お越しいただき、ありがとうございます。静かさやウェルカムドリンクをお楽しみいただけたようで嬉しく思います。
 

 お部屋の広さやシャワーカーテンの工夫にもご感想をいただきありがとうございます。朝食に関しまして、早朝出発のためにお召し上がりいただけなかったことは残念でしたが、次回のご訪問では無事に楽しんでいただけたとのことで安心しました。
 

 またのお越しを心よりお待ちしております。"
183366899,オリエンタルホテル 京都六条,オリエンタルホテル 京都六条,,ビジネスクラスを探してたらヒットしました！落ち着いた部屋でシンプルな所が良い！夕食は河原町で少し遠いがコンビニは近くにあるので弁当買って部屋で食事！この時もテーブルを貸し出し出来るのでありがたい！ドリンクサービスあります。後で思ったのですが連泊中日に遠出したら京都駅に行って歩くのもいいかもしれませんね！,ja,4,POSITIVE,2024-12-11 18:03:19,"この度はご宿泊いただき誠にありがとうございます。
落ち着いたお部屋の雰囲気やシンプルなデザインにご満足いただけたとのこと、大変嬉しく思います。また、コンビニが近くにあり、お弁当を部屋で楽しんでいただけたこともご安心いただけたようで、何よりでございます。
京都駅までのアクセスについてもご提案いただき、参考にさせていただきます。次回のご滞在の際も、ぜひご利用いただけると幸いです。

またのご利用を心よりお待ちしております。この度は誠にありがとうございました","この度はご利用いただき、誠にありがとうございます。落ち着いたお部屋やシンプルな雰囲気を気に入っていただけたようで嬉しく思います。
 

 夕食の際には、当施設のテーブル貸し出しサービスがお役に立てたようで何よりです。ドリンクサービスもご満足いただけたようで光栄です。
 

 京都駅周辺へのお出かけも、次回の楽しみとしてぜひ検討してみてください。またのご利用を心よりお待ちしております。","この度はご利用いただき、誠にありがとうございます。
 

 快適にお過ごしいただけたとのことで、スタッフ一同嬉しく思っております。落ち着いた部屋や便利なドリンクサービスがご満足いただけた点、大変嬉しく拝見しました。
 

 河原町までの夕食や、連泊中の京都駅へのお出かけも素敵なアイディアですね！ぜひ次回のご利用の際にも、いろいろと楽しんでいただければと思います。またのお越しをお待ちしております。"
