review_id,good_reply,normal_reply,bad_reply
1,"この度はご宿泊いただき、誠にありがとうございます。お部屋の清掃が不十分でご不便をおかけし申し訳ございません。すぐに清掃体制を見直し、改善策を実施いたします。またのご来館を心よりお待ち申し上げております。","ご利用ありがとうございます。清掃を改善します。次回もお待ちしております。","ありがとう。また来て。"
1,"この度は当ホテルをご利用いただき誠にありがとうございます。朝食のお味がご期待に沿えずご不便をおかけし申し訳ございません。厨房と連携しメニューを見直し、サービス向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","ご利用感謝します。メニュー改善します。ぜひまたお越しください。","朝食まずかった？次は頑張るよ。"
1,"この度は対応が遅く申し訳ございませんでした。当ホテルをお選びいただいたにも関わらず、不快な思いをおかけし重ねてお詫び申し上げます。今後は迅速な対応を徹底し、品質向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","すみませんでした。対応早くします。また来てね。","遅かった？ごめんね。"}
1,"この度はご宿泊いただき、誠にありがとうございます。お部屋の清掃が不十分でご不便をおかけし申し訳ございません。すぐに清掃体制を見直し、改善策を実施いたします。またのご来館を心よりお待ち申し上げております。","ご利用ありがとうございます。清掃を改善します。次回もお待ちしております。","ありがとう。また来て。"
1,"この度は当ホテルをご利用いただき誠にありがとうございます。朝食のお味がご期待に沿えずご不便をおかけし申し訳ございません。厨房と連携しメニューを見直し、サービス向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","ご利用感謝します。メニュー改善します。ぜひまたお越しください。","朝食まずかった？次は頑張るよ。"
1,"この度は対応が遅く申し訳ございませんでした。当ホテルをお選びいただいたにも関わらず、不快な思いをおかけし重ねてお詫び申し上げます。今後は迅速な対応を徹底し、品質向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","すみませんでした。対応早くします。また来てね。","遅かった？ごめんね。"}
1,"この度はご宿泊いただき、誠にありがとうございます。お部屋の清掃が不十分でご不便をおかけし申し訳ございません。すぐに清掃体制を見直し、改善策を実施いたします。またのご来館を心よりお待ち申し上げております。","ご利用ありがとうございます。清掃を改善します。次回もお待ちしております。","ありがとう。また来て。"
1,"この度は当ホテルをご利用いただき誠にありがとうございます。朝食のお味がご期待に沿えずご不便をおかけし申し訳ございません。厨房と連携しメニューを見直し、サービス向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","ご利用感謝します。メニュー改善します。ぜひまたお越しください。","朝食まずかった？次は頑張るよ。"
1,"この度は対応が遅く申し訳ございませんでした。当ホテルをお選びいただいたにも関わらず、不快な思いをおかけし重ねてお詫び申し上げます。今後は迅速な対応を徹底し、品質向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","すみませんでした。対応早くします。また来てね。","遅かった？ごめんね。"}
1,"この度はご宿泊いただき、誠にありがとうございます。お部屋の清掃が不十分でご不便をおかけし申し訳ございません。すぐに清掃体制を見直し、改善策を実施いたします。またのご来館を心よりお待ち申し上げております。","ご利用ありがとうございます。清掃を改善します。次回もお待ちしております。","ありがとう。また来て。"
1,"この度は当ホテルをご利用いただき誠にありがとうございます。朝食のお味がご期待に沿えずご不便をおかけし申し訳ございません。厨房と連携しメニューを見直し、サービス向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","ご利用感謝します。メニュー改善します。ぜひまたお越しください。","朝食まずかった？次は頑張るよ。"
1,"この度は対応が遅く申し訳ございませんでした。当ホテルをお選びいただいたにも関わらず、不快な思いをおかけし重ねてお詫び申し上げます。今後は迅速な対応を徹底し、品質向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","すみませんでした。対応早くします。また来てね。","遅かった？ごめんね。"}
1,"この度はご宿泊いただき、誠にありがとうございます。お部屋の清掃が不十分でご不便をおかけし申し訳ございません。すぐに清掃体制を見直し、改善策を実施いたします。またのご来館を心よりお待ち申し上げております。","ご利用ありがとうございます。清掃を改善します。次回もお待ちしております。","ありがとう。また来て。"
1,"この度は当ホテルをご利用いただき誠にありがとうございます。朝食のお味がご期待に沿えずご不便をおかけし申し訳ございません。厨房と連携しメニューを見直し、サービス向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","ご利用感謝します。メニュー改善します。ぜひまたお越しください。","朝食まずかった？次は頑張るよ。"
1,"この度は対応が遅く申し訳ございませんでした。当ホテルをお選びいただいたにも関わらず、不快な思いをおかけし重ねてお詫び申し上げます。今後は迅速な対応を徹底し、品質向上に努めてまいります。またのご来館を心よりお待ち申し上げております。","すみませんでした。対応早くします。また来てね。","遅かった？ごめんね。"}
