review_id,reply,2段階
209970809,"この度はオリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

設備や清潔感、おもてなしにご満足いただけたとのお言葉をいただき、大変嬉しく思います。ドリンクサービスの豊富さも多くのお客様にご利用いただいている点であり、喜んでいただけたことが何よりの励みです。

京都駅からは少し距離がありますが、その分皆様にご満足いただけるサービスを心掛けております。 

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

設備や清潔感、豊富なドリンクサービスにご満足いただけたとのことで、大変嬉しく思います。また、おもてなしについても高く評価いただき、心より感謝申し上げます。

京都駅からの距離についてご理解いただき、ありがとうございます。これからも、お客様に快適で心地よい空間を提供できるよう、スタッフ一同努めて参ります。

ぜひまたのご来館を心よりお待ちしております。"
205435941,"この度はご宿泊いただき、誠にありがとうございます。

ご滞在中にご不便をおかけし、申し訳ございませんでした。お部屋のご準備が遅れ、お客様にご迷惑をおかけしたこと、心よりお詫び申し上げます。また、施設に関してのご指摘もありがたく受け止めております。お客様のご意見は、今後の改善に繋げてまいります。

お客様にリラックスした時間を提供できるホテルとなるよう、スタッフ一同努力してまいります。次回のご訪問の際には、より良いサービスをお届けできるよう尽力いたしますので、またのお越しを心よりお待ちしております。","この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

しかしながら、お客様のご期待にお応えできず、心よりお詫び申し上げます。お部屋の準備やアクセスに関するご不便をおかけしましたこと、大変申し訳ございません。また、スタッフの対応についてもご指摘いただき、重ねてお礼申し上げます。

いただいたご意見をもとに、サービスの向上に努めてまいります。お客様に心地よいご滞在を提供できるよう、改善を進めていきますので、今後とも何卒よろしくお願いいたします。

またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
194593281,"この度はお越しいただき、誠にありがとうございます。

「うまい」とのお言葉をいただき、大変嬉しく思います。お客様にご満足いただけるお料理を提供できるよう、スタッフ一同心掛けております。

またのご来館を心よりお待ち申し上げております。","ご来館いただき誠にありがとうございます。お客様からのご意見やご感想を心よりお待ちしております。お客様にご満足いただけるサービスを提供できるよう、スタッフ一同努めてまいりますので、またのお越しを心よりお待ちしております。

オリエンタルホテル京都六条"
188236382,"この度は、オリエンタルホテル京都六条にご宿泊いただき誠にありがとうございます。

和室の板張りについてご不便をおかけし申し訳ございません。お客様の貴重なご意見は、今後の改善に活かさせていただきます。

また、朝食のアレルギー対応表示についてお褒めのお言葉をいただき大変嬉しく思います。わかりやすさを心掛けておりますので、その点をご評価いただきありがとうございます。

隠れ家としての立地を気に入っていただけたとのこと、嬉しく思っております。ぜひ次回は別のプランもご検討いただければと思います。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

客室の和室について、板張りの部分が使いづらかったとの貴重なご意見をいただき、心より感謝申し上げます。ご不便をおかけし申し訳ございません。今後の改善に努めてまいります。

また、朝食のアレルギー表示が分かりやすかったとのお言葉、大変嬉しく思います。お客様が安心してお食事を楽しんでいただけるよう、引き続き配慮してまいります。

駅からの距離についても、隠れ家として推薦いただけることを嬉しく思っております。今後ともお客様にご満足いただけるサービスを提供できるよう努力してまいります。

またのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
186813431,"この度は、オリエンタルホテル京都六条にご来館いただき、誠にありがとうございます。

静かな街に佇む当ホテルの立地をお気に召していただけたようで、大変嬉しく思っております。京都の魅力を存分に感じていただける場所を提供できていることは、私たちの喜びでもあります。

ぜひまたのご来館を心よりお待ちしております。京都でのお越しの際には、いつでもお立ち寄りくださいませ。","この度はオリエンタルホテル 京都六条をご利用いただき、誠にありがとうございます。

当ホテルの静かな立地をお気に召していただけたとのこと、大変嬉しく思っております。落ち着いた環境でおくつろぎいただけたことが何よりの喜びです。

今後もお客様にご満足いただけるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
185753175,"この度はご来館いただき、誠にありがとうございます。

朝食の白味噌のお味噌汁や湯豆腐をお楽しみいただけたとのことで、大変嬉しく思っております。京都らしさを感じていただけた点も評価いただき、ありがとうございます。

他のオリエンタルホテル系列と比較したご意見については、貴重なご指摘として受け止めさせていただきます。私たちは常にサービス向上に努めて参りますので、今後ともご期待に添えますようさらなる努力をしていきます。

またのご来館を心よりお待ちしております。","この度は貴重なご意見を賜り、誠にありがとうございます。

白味噌のお味噌汁や湯豆腐をお気に召していただけたとのことで、大変嬉しく思っております。京都らしさを感じていただけたことは、私たちにとって何よりの喜びです。

また、他のオリエンタルホテル系列との比較についてのご指摘もいただき、感謝申し上げます。今後とも、お客様にご満足いただけるよう、質の向上に努めてまいります。

ぜひまたのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366887,"この度は、オリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。  

立地や設備についてご不便をおかけし、申し訳ございません。お客様からの貴重なご意見は今後の改善にしっかりと活かしてまいります。  

快適なご滞在を提供できるよう努力し、スタッフ一同心がけてまいりますので、またのお越しを心よりお待ちしております。","この度は、オリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご意見をお寄せいただき感謝申し上げます。

立地や設備に関して、ご不便をおかけし申し訳ございません。特に、テレビが夜中に自動でオンになる件につきましては、大変ご迷惑をおかけいたしました。早急に点検を行い、必要な修正を進めてまいります。

さらに、お部屋のテーブルやコンセントの位置、空調についてのご指摘もありがたく受け止め、改善を検討いたします。お客様にとって快適な滞在となりますよう、スタッフ一同努めてまいります。

お客様の貴重なご意見を重視し、次回はよりご満足いただけるご滞在を提供できるよう努めてまいります。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366889,"この度はご利用いただき、誠にありがとうございます。

フリードリンクやおつまみをお楽しみいただけたとのことで、大変嬉しく思っております。お部屋の静かさや清潔感についてもご評価いただき、スタッフ一同励みになります。

今後とも、快適にお過ごしいただける空間を提供できるよう努めて参ります。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

フリードリンクやおつまみをお楽しみいただけたとのこと、大変嬉しく思っております。また、静かで清潔な環境についての温かいお言葉をいただき、感謝申し上げます。

これからもお客様に快適なひとときを提供できるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366898,"この度はオリエンタルホテル 京都六条をご利用いただき、誠にありがとうございます。

ホテルの静けさやウェルカムドリンクにご満足いただけたとのことで、大変嬉しく思います。お部屋の広さや浴室の使いやすさについてもお褒めいただき、ありがとうございます。朝食をお召し上がりいただけなかったことは残念でしたが、次回にはぜひ美味しい朝食をお楽しみいただければ幸いです。

再度のご利用を心よりお待ち申し上げております。これからもお客様にご満足いただけるよう努めてまいります。","この度は、オリエンタルホテル京都六条へのご宿泊、誠にありがとうございます。

ウェルカムドリンクやお部屋の広さについてお褒めの言葉をいただき、大変嬉しく思っております。また、再訪時に朝食を楽しんでいただけたことも、私どもにとって何よりの喜びです。

今回はご不便をおかけしましたが、次回はぜひゆっくりとご利用いただければ幸いです。お寄せいただいた写真も、大変ありがたく思います。

次回のご来館を心よりお待ちしております。  

オリエンタルホテル京都六条"
183366899,"この度は当ホテルにご宿泊いただき、誠にありがとうございます。

落ち着いた部屋や、利便性の高い立地についてご評価いただき、大変嬉しく思います。

夕食の際に、近くのコンビニをご利用されるアイデアも良いですね。快適にお過ごしいただけたことが伝わり、スタッフ一同励みになります。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

お部屋の落ち着きや、便利なサービスをお気に召していただけたとのことで、大変嬉しく思います。コンビニへのアクセスやドリンクサービスもお役に立てたようで何よりです。

次回のご滞在では、京都駅への訪問もぜひご検討ください。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
