review_id,reply
209970809,"この度はご宿泊いただき、誠にありがとうございました。
また、温かいご感想をお寄せいただき、心より御礼申し上げます。

設備の新しさや清潔感にご満足いただけたとのこと、大変嬉しく思います。
また、日本酒やノンアルコールドリンクを含むドリンクサービスも多くの方にご利用いただき、私たちも嬉しい限りです。

京都駅からの距離につきましても、「おもてなし」で補って余りあるとのお言葉を頂戴し、スタッフ一同大きな励みとなります。

また京都にお越しの際は、ぜひ当ホテルにお立ち寄りくださいませ。心よりお待ち申し上げております。
オリエンタルホテル京都六条"
205435941,"Gracias por haberse alojado en Oriental Hotel Kyoto Rokujo y por tomarse el tiempo de compartir sus comentarios.

Lamentamos sinceramente que la experiencia durante el check-in y el acceso al hotel no haya estado a la altura de sus expectativas. Valoramos mucho sus observaciones, y las compartiremos con nuestro equipo para seguir mejorando tanto el servicio como la comodidad de nuestros huéspedes.

Nos alegra saber que, a pesar de los inconvenientes mencionados, haya valorado su estancia con una alta puntuación. Será un placer poder darle la bienvenida nuevamente y ofrecerle una experiencia más satisfactoria."
194593281,この度はオリエンタルホテル京都六条をご利用いただき誠にありがとうございます。またのご利用をお待ちしております。
188236382,"この度は貴重なご意見をお寄せいただき、誠にありがとうございます。
●客室について
和室の板張りについてご期待に添えず、また使いづらいと感じられた点、大変申し訳ございません。特にユニットバス周りの設計においてご不便をおかけしたことを深くお詫び申し上げます。このご意見を真摯に受け止め、今後の客室改善に役立ててまいります。

●サービスについて
朝食に関するアレルギー対応表示についてお褒めいただきありがとうございます。多くのお客様に安心してお食事を楽しんでいただけるよう、これからも分かりやすく、安心できるサービスを追求してまいります。

●場所について
当ホテルの立地について、駅から離れているという点を「隠れ家」として捉えていただけたこと、大変嬉しく思います。お客様の周囲の方々にもお薦めいただけるとのこと、心より感謝申し上げます。

またのお越しをスタッフ一同、心よりお待ちしております。引き続きご愛顧賜りますようお願い申し上げます。"
186813431,"この度は当ホテルをご利用いただき、また貴重なご感想をお寄せいただき誠にありがとうございます。
客室やサービスに高い評価をいただき光栄でございます。
一方で、場所に関するご意見も真摯に受け止めております。今後もお客様にご満足いただけるよう、より一層の努力を続けてまいります。またのご利用を心よりお待ち申し上げております。"
185753175,"この度は当ホテルをご利用いただき、また貴重なご意見をお寄せいただき誠にありがとうございます。
白味噌のお味噌汁や湯豆腐、ラウンジの出汁など、京都らしいお食事をお楽しみいただけたとのこと、大変嬉しく思います。また、客室や設備についてのポジティブな評価をいただきありがとうございます。一方で、WiFiの接続やテレビの動作についてご不便をおかけしたこと、深くお詫び申し上げます。さらに、アメニティに関する貴重なご意見をありがとうございます。女性のお客様によりご満足いただけるよう、洗顔や化粧水などの充実も検討してまいります。今後もお客様に快適でご満足いただけるご滞在を提供できるよう、スタッフ一同尽力してまいります。またのご利用を心よりお待ち申し上げております。"
183366887,"お客様、この度は貴重なご意見をお寄せいただき、誠にありがとうございます。

ホテルの清潔さや高級感、セキュリティ面についてご満足いただけた点は大変嬉しく思います。また、ウェルカムドリンクのサービスもお楽しみいただけたようで何よりです。

一方で、客室の設備やコンセントの配置、エアコンの操作性に関するご不便をおかけし、申し訳ございません。特に、テレビが夜中に自動的に点灯する現象については、大変不快な思いをさせてしまい、心よりお詫び申し上げます。テレビ画面の設定でオートモードがONになっている可能性が考えられますので、すぐに設備の確認と対応を行い、快適にお休みいただける環境を整えてまいります。

テーブルの貸し出しや冷蔵庫の配置についても、いただいたご意見を真摯に受け止め、今後の改善を検討させていただきます。お客様が快適にお過ごしいただけるよう、より良いサービスを目指して努めてまいります。

お忙しい中、詳しいご感想をお聞かせいただき、誠にありがとうございました。ぜひまたのご利用をお待ちしております。"
183366889,"この度はご宿泊いただき、誠にありがとうございます。

フリードリンクやおつまみサービスをお楽しみいただけたようで嬉しく思います。特に、静かで清潔感のある空間で快適にお過ごしいただけたとのお言葉は、スタッフ一同の励みになります。

これからも、より快適で満足度の高い滞在を提供できるよう努めてまいります。
またのお越しを心よりお待ちしております。
この度は誠にありがとうございました。"
183366898,"お客様、この度は再度ご宿泊いただき、誠にありがとうございます。

ホテルの立地やウェルカムドリンクサービスにご満足いただけたようで、嬉しく思います。また、お部屋の広さや浴室の使い勝手についてもご評価いただき、ありがとうございます。

朝食に関して、前回はご利用いただけなかったとのことですが、今回お楽しみいただけたようで何よりです。お客様の写真も拝見し、私たちも嬉しく思います。

また京都にお越しの際は、ぜひ当ホテルでお迎えできることを楽しみにしております。今後もより良いサービスを提供できるよう努めてまいります。

ありがとうございました。"
183366899,"この度はご宿泊いただき誠にありがとうございます。
落ち着いたお部屋の雰囲気やシンプルなデザインにご満足いただけたとのこと、大変嬉しく思います。また、コンビニが近くにあり、お弁当を部屋で楽しんでいただけたこともご安心いただけたようで、何よりでございます。
京都駅までのアクセスについてもご提案いただき、参考にさせていただきます。次回のご滞在の際も、ぜひご利用いただけると幸いです。

またのご利用を心よりお待ちしております。この度は誠にありがとうございました"
183366928,"この度は数あるホテルから当ホテルをお選びいただき誠にありがとうございました。スタッフの対応や館内、ウェルカムサービスに関しましてもお褒めのお言葉を頂戴し重ねて御礼申し上げます。

ウェルカムサービスでは数種類のドリンクの他、日本酒やお出汁、スナック菓子のご用意もございます。特にお出汁は沢山の客様にご満足いただいているようで大変光栄に存じております。

当ホテルは京都駅から少し離れた住宅街に位置しております故、ご利用のお客様には少々ご不便をお掛けしてしまいます。フロントやお電話でもアクセスに関してのお手伝いを承っておりますので、お気軽にご相談いただければと存じます。

今後もサービス向上に努めてまいります。

またのご来館をスタッフ一同、心よりお待ち申し上げております。


オリエンタルホテル京都六条

"
183366930,"この度は当ホテルをご利用いただきありがとうございました。高い評価を頂き、重ねて御礼申し上げます。ウェルカムサービスにもご満足いただけたようで大変光栄に存じます。

お客様には郵便物のお預かりや客室の備品に関してご不快な思いをさせてしまい、誠に申し訳ございませんでした。郵便物に関しましては、情報保護の観点からも当ホテルから徒歩約1分の郵便局・郵便ポストのご案内をさせていただいております。テーブルは数に限りがございますので、お申し付けいただいたお客様にはフロントにてお貸出しを承っております。こちらに関しましてもご案内を失念しておりましたのであれば、重ねてお詫び申し上げます。

スタッフの至らない対応に改めて深くお詫びいたします。今後、スタッフの教育を徹底いたします。

またのご来館をスタッフ一同、心よりお待ち申し上げております。

オリエンタルホテル京都六条"
183366935,"この度は当ホテルにご宿泊いただき誠にありがとうございました。高い評価やお褒めのお言葉を頂戴し重ねて御礼申し上げます。

京都駅からは少し距離がありますので、ご利用のお客様には交通機関やタクシーでのご移動をご提案しております。フロントにてアクセスに関するご案内も承っておりますのでお気軽にお声がけいただければと存じます。

またのご来館をスタッフ一同心よりお待ち申し上げております。


オリエンタルホテル京都六条


"
183366939,"この度は当ホテルをご利用いただき誠にありがとうございました。ご滞在に置かれましては、ごゆっくりお身体をお安めいただけましたでしょうか。

京都駅からは少し距離がありますので、ご利用のお客様には交通機関やタクシーのご利用をご提案しております。フロントにてご案内も承っておりますのでお気軽にお声がけいただければと存じます。

また、チェックインや客室のご案内の不備でご不便をお掛けしてしまい申し訳ございませんでした。客室入口付近に冷蔵庫をご用意しておりますが、ご案内が至らず重ねてお詫び申し上げます。今後のサービス向上に努めてまいります。

またのご来館を、スタッフ一同心よりお待ち申し上げております。


オリエンタルホテル京都六条"
183366943,"この度は当ホテルにご宿泊いただき誠にありがとうございました。

客室やウェルカムサービスに関しましてお褒めのお言葉を頂戴し、重ねて御礼申し上げます。

また、お客様にはスタッフの対応や客室の清掃不備でご不快な思いをさせてしまい大変申し訳ございませんでした。毎日沢山のお客様にご来館いただくため迅速なチェックイン対応を心掛けております。ご所望のお客様には詳細な当館のご説明も致しておりますので、お申し付けいただければと存じます。

頂いたご意見は真摯に受け止め、今後スタッフの教育を徹底してまいります。

またのご来館を心よりお待ち申し上げております。


オリエンタルホテル京都六条"
183366944,"この度は当ホテルにご宿泊いただき誠にありがとうございました。高い評価と朝食に関するお褒めのお言葉を頂戴し重ねて御礼申し上げます。

客室のベッドに関しましてお客様にはご不便をお掛けし大変申し訳ございませんでした。頂いたご意見はスタッフと共有し、今後の運営に尽力してまいります。

またのご来館をスタッフ一同、心よりお待ち申し上げております。


オリエンタルホテル京都六条"
183366953,"この度は当ホテルにご宿泊いただき誠にありがとうございました。

スタッフの対応や館内・客室の設備でお客様にはご不便とご迷惑をお掛けし大変申し訳ございませんでした。

ご希望のお客様にはフロントにてテーブルの貸し出しを承っております。ご案内を失念しておりましたようでしたらお詫び申し上げます。数に限りがございます故、ご入用の際はお声がけいただけますと幸いでございます。また、エアコンに関しましては、あいにくリモートコントローラーのご用意がなく、客室内の壁に設置してございますコントローラーから温度や風量などの設定・変更をお願いしております。

いただいたご意見は真摯に受け止め、スタッフ間で共有させていただくと共に、スタッフの教育を徹底してまいります。


オリエンタルホテル京都六条"
