review_id,reply
209970809,"この度はご利用いただき、また温かいご感想をありがとうございます。
 

 設備の新しさや清潔感をお伝えいただき、とても嬉しく思います。また、ドリンクサービスについてもお褒めいただき、スタッフ一同励みになります。お客様にご満足いただけるよう、今後もおもてなしを充実させて参ります。
 

 京都駅からの距離についても、ご理解いただき感謝申し上げます。次回のご利用を心よりお待ちしております。"
205435941,"Lamentamos sinceramente que su experiencia no haya sido lo que esperaba. Agradecemos su comentario y tomamos muy en serio sus observaciones sobre el tiempo de espera y las instalaciones.
 

 Estamos comprometidos a mejorar y haremos todo lo posible para que su próxima visita sea más placentera. 
 

 Esperamos tener la oportunidad de demostrarle una mejor atención en el futuro. Gracias por su feedback."
194593281,この度はご利用いただき、ありがとうございます。もし「nan」という言葉に何か特別な意味やご要望がございましたら、ぜひお知らせください。お客様のご意見を大切にし、一層のサービス向上に努めて参ります。今後ともどうぞよろしくお願い申し上げます。
188236382,"この度はご利用いただき、誠にありがとうございます。
 

 客室の和室についてご指摘いただき、ありがとうございます。ご不便をおかけした点についてお詫び申し上げます。改善の参考にさせていただきます。
 

 また、朝食のアレルギー表示に関してご評価いただき、光栄です。その点をご満足いただけたことを嬉しく思います。
 

 駅からの距離についてもご理解いただき、ありがとうございます。隠れ家的な場所としてご推薦いただけるなんて、光栄です。
 

 今後とも、より良いサービスの提供に努めてまいります。またのご来店を心よりお待ちしております。"
186813431,"ご利用いただき、ありがとうございます。
 

 京都の静かな街並みを楽しんでいただけたようで嬉しく思います。当ホテルの立地が、特別なひとときを演出できたのであれば幸いです。
 

 またのご訪問を心よりお待ちしております。"
185753175,"ご来店いただき、また素敵なご感想をお寄せいただきありがとうございます。
 

 白味噌のお味噌汁や湯豆腐を気に入っていただけたとのこと、とても嬉しく思います。京都らしさを感じていただけたことも何よりの喜びです。
 

 ご指摘いただいた点については真摯に受け止め、今後の改善に努めてまいります。貴重なご意見に感謝いたします。
 

 またのご利用を心よりお待ちしております。"
183366887,"この度はご利用いただき、また貴重なご意見をお寄せいただきありがとうございます。
 

 立地や室内の設備に関して、ご不便をおかけし申し訳ございません。特に夜中のテレビが自動でオンになる件については、大変ご迷惑をおかけしました。この事象は調査し、早急に改善に努めます。
 

 また、テーブルやコンセントの位置など、ご要望にお応えできなかった点についても重く受け止めており、今後の改善材料とさせていただきます。
 

 お客様にとって快適な滞在ができるよう、スタッフ一同、さらなるサービス向上に努めてまいりますので、今後ともどうぞよろしくお願い申し上げます。"
183366889,"ご利用いただきありがとうございます。フリードリンクやおつまみを楽しんでいただけたとのこと、大変嬉しく思います。
 

 静かで清潔感のある環境を提供できたことも嬉しいお言葉です。今後とも、より良いサービスを心がけて参りますので、またのご来店をお待ちしております。"
183366898,"お越しいただき、ありがとうございます。静かさやウェルカムドリンクをお楽しみいただけたようで嬉しく思います。
 

 お部屋の広さやシャワーカーテンの工夫にもご感想をいただきありがとうございます。朝食に関しまして、早朝出発のためにお召し上がりいただけなかったことは残念でしたが、次回のご訪問では無事に楽しんでいただけたとのことで安心しました。
 

 またのお越しを心よりお待ちしております。"
183366899,"この度はご利用いただき、誠にありがとうございます。
 

 快適にお過ごしいただけたとのことで、スタッフ一同嬉しく思っております。落ち着いた部屋や便利なドリンクサービスがご満足いただけた点、大変嬉しく拝見しました。
 

 河原町までの夕食や、連泊中の京都駅へのお出かけも素敵なアイディアですね！ぜひ次回のご利用の際にも、いろいろと楽しんでいただければと思います。またのお越しをお待ちしております。"
183366928,"この度は当施設をご利用いただき、誠にありがとうございます。
 

 ご宿泊が快適だったとのこと、大変嬉しく思います。清潔さやサービスに関してお褒めの言葉をいただき、スタッフ一同励みになります。また、ウエルカムドリンクやおつまみも楽しんでいただけたようで嬉しい限りです。
 

 アクセスについてはご不便をおかけしたようで申し訳ありません。今後も皆様にとって快適な滞在ができるよう、一層努力してまいります。
 

 貴重なご意見、ありがとうございました。またのご利用を心よりお待ちしております。"
183366930,"ご利用いただきありがとうございます。
 

 お手紙の受け取りについてご不便をおかけし、申し訳ありませんでした。お客様のご指摘は非常に貴重で、今後のサービス向上に活かしてまいります。ポストの場所についても、わかりやすく案内できるよう改善していきます。
 

 貴重なご意見をいただき感謝いたします。またのご来店をお待ちしております。"
